timestamp,scenario,source,approach,run_number,input_tokens,output_tokens,total_tokens,tool_calls,external_api_calls,duration_seconds,estimated_cost_usd,model
2026-03-08T05:20:23.630273+00:00,Sentinel: Brute Force from TOR,sentinel,naive,1,90552,1579,92131,3,3,91.91516887499893,0.295341,claude-sonnet-4-20250514
2026-03-08T05:23:22.646035+00:00,Sentinel: Brute Force from TOR,sentinel,naive,2,90548,1591,92139,3,3,179.01082045900694,0.295509,claude-sonnet-4-20250514
2026-03-08T05:26:18.996597+00:00,Sentinel: Brute Force from TOR,sentinel,naive,3,90551,1479,92030,3,3,176.34627599999658,0.29383800000000004,claude-sonnet-4-20250514
2026-03-08T05:27:47.470598+00:00,Sentinel: Brute Force from TOR,sentinel,calseta,1,2604,962,3566,0,0,88.47156520799035,0.022241999999999998,claude-sonnet-4-20250514
2026-03-08T05:28:08.154091+00:00,Sentinel: Brute Force from TOR,sentinel,calseta,2,2604,942,3546,0,0,20.681532707996666,0.021942,claude-sonnet-4-20250514
2026-03-08T05:28:29.678286+00:00,Sentinel: Brute Force from TOR,sentinel,calseta,3,2604,962,3566,0,0,21.52234458400926,0.022241999999999998,claude-sonnet-4-20250514
2026-03-08T05:28:37.684531+00:00,Sentinel: Brute Force from TOR,sentinel,naive,1,29470,706,30176,2,2,8.004008083997178,0.080735,aoai-dev-gpt-4o
2026-03-08T05:28:44.858937+00:00,Sentinel: Brute Force from TOR,sentinel,naive,2,29470,702,30172,2,2,7.172559624988935,0.080695,aoai-dev-gpt-4o
2026-03-08T05:28:52.322038+00:00,Sentinel: Brute Force from TOR,sentinel,naive,3,29470,670,30140,2,2,7.461369958997238,0.080375,aoai-dev-gpt-4o
2026-03-08T05:28:58.917840+00:00,Sentinel: Brute Force from TOR,sentinel,calseta,1,2263,597,2860,0,0,6.59412816700933,0.011627499999999999,aoai-dev-gpt-4o
2026-03-08T05:29:05.567284+00:00,Sentinel: Brute Force from TOR,sentinel,calseta,2,2263,691,2954,0,0,6.648828582998249,0.012567499999999999,aoai-dev-gpt-4o
2026-03-08T05:29:11.991082+00:00,Sentinel: Brute Force from TOR,sentinel,calseta,3,2263,624,2887,0,0,6.422806041009608,0.011897499999999998,aoai-dev-gpt-4o
2026-03-08T05:35:22.068419+00:00,Elastic: Known Malware Hash,elastic,naive,1,246345,2032,248377,7,7,370.07282779199886,0.769515,claude-sonnet-4-20250514
2026-03-08T05:43:33.547715+00:00,Elastic: Known Malware Hash,elastic,naive,2,244931,2065,246996,7,7,491.4746812910016,0.765768,claude-sonnet-4-20250514
2026-03-08T05:51:43.678320+00:00,Elastic: Known Malware Hash,elastic,naive,3,244806,2088,246894,7,7,490.1246134999965,0.765738,claude-sonnet-4-20250514
2026-03-08T05:53:11.712506+00:00,Elastic: Known Malware Hash,elastic,calseta,1,3559,1049,4608,0,0,88.03100554199773,0.026411999999999998,claude-sonnet-4-20250514
2026-03-08T05:53:32.377557+00:00,Elastic: Known Malware Hash,elastic,calseta,2,3559,1049,4608,0,0,20.663660166988848,0.026411999999999998,claude-sonnet-4-20250514
2026-03-08T05:53:53.160220+00:00,Elastic: Known Malware Hash,elastic,calseta,3,3559,1049,4608,0,0,20.781927125004586,0.026411999999999998,claude-sonnet-4-20250514
2026-03-08T05:54:00.604019+00:00,Elastic: Known Malware Hash,elastic,naive,1,7541,725,8266,3,3,7.442112166987499,0.0261025,aoai-dev-gpt-4o
2026-03-08T05:54:09.798964+00:00,Elastic: Known Malware Hash,elastic,naive,2,7541,751,8292,3,3,9.193424083001446,0.0263625,aoai-dev-gpt-4o
2026-03-08T05:54:17.177438+00:00,Elastic: Known Malware Hash,elastic,naive,3,7541,720,8261,3,3,7.376838292009779,0.026052500000000003,aoai-dev-gpt-4o
2026-03-08T05:54:25.413007+00:00,Elastic: Known Malware Hash,elastic,calseta,1,3139,976,4115,0,0,8.234728916009772,0.017607499999999998,aoai-dev-gpt-4o
2026-03-08T05:54:33.513488+00:00,Elastic: Known Malware Hash,elastic,calseta,2,3139,962,4101,0,0,8.099805833000573,0.0174675,aoai-dev-gpt-4o
2026-03-08T05:54:42.066943+00:00,Elastic: Known Malware Hash,elastic,calseta,3,3139,895,4034,0,0,8.552052540995646,0.0167975,aoai-dev-gpt-4o
2026-03-08T05:55:56.823316+00:00,Splunk: Anomalous Data Transfer,splunk,naive,1,68739,1850,70589,5,5,74.75428279099287,0.23396699999999998,claude-sonnet-4-20250514
2026-03-08T05:57:49.351298+00:00,Splunk: Anomalous Data Transfer,splunk,naive,2,49728,1844,51572,4,4,112.52523512499465,0.176844,claude-sonnet-4-20250514
2026-03-08T06:00:32.994610+00:00,Splunk: Anomalous Data Transfer,splunk,naive,3,88012,1968,89980,6,6,163.6385819999996,0.29355600000000004,claude-sonnet-4-20250514
2026-03-08T06:01:04.544245+00:00,Splunk: Anomalous Data Transfer,splunk,calseta,1,2941,1035,3976,0,0,31.548397541992017,0.024348,claude-sonnet-4-20250514
2026-03-08T06:01:30.901109+00:00,Splunk: Anomalous Data Transfer,splunk,calseta,2,2941,1182,4123,0,0,26.354079541997635,0.026553000000000004,claude-sonnet-4-20250514
2026-03-08T06:01:57.121842+00:00,Splunk: Anomalous Data Transfer,splunk,calseta,3,2941,1182,4123,0,0,26.21939966699574,0.026553000000000004,claude-sonnet-4-20250514
2026-03-08T06:02:04.066998+00:00,Splunk: Anomalous Data Transfer,splunk,naive,1,16984,674,17658,6,6,6.944606083998224,0.0492,aoai-dev-gpt-4o
2026-03-08T06:02:12.520146+00:00,Splunk: Anomalous Data Transfer,splunk,naive,2,13205,1083,14288,4,4,8.451629000002868,0.0438425,aoai-dev-gpt-4o
2026-03-08T06:02:20.197676+00:00,Splunk: Anomalous Data Transfer,splunk,naive,3,16983,690,17673,6,6,7.676413249995676,0.0493575,aoai-dev-gpt-4o
2026-03-08T06:02:27.678345+00:00,Splunk: Anomalous Data Transfer,splunk,calseta,1,2572,721,3293,0,0,7.478327749995515,0.01364,aoai-dev-gpt-4o
2026-03-08T06:02:34.795755+00:00,Splunk: Anomalous Data Transfer,splunk,calseta,2,2572,733,3305,0,0,7.116881167006795,0.013760000000000001,aoai-dev-gpt-4o
2026-03-08T06:02:42.457076+00:00,Splunk: Anomalous Data Transfer,splunk,calseta,3,2572,713,3285,0,0,7.660534374997951,0.01356,aoai-dev-gpt-4o
2026-03-08T06:04:58.781545+00:00,Sentinel: Impossible Travel,sentinel,naive,1,114821,1642,116463,6,6,136.32171079100226,0.369093,claude-sonnet-4-20250514
2026-03-08T06:07:51.486190+00:00,Sentinel: Impossible Travel,sentinel,naive,2,81640,1503,83143,5,5,172.7009957919945,0.267465,claude-sonnet-4-20250514
2026-03-08T06:10:38.848256+00:00,Sentinel: Impossible Travel,sentinel,naive,3,81635,1528,83163,5,5,167.35883991599258,0.267825,claude-sonnet-4-20250514
2026-03-08T06:11:29.404416+00:00,Sentinel: Impossible Travel,sentinel,calseta,1,3080,1080,4160,0,0,50.55314124999859,0.025439999999999997,claude-sonnet-4-20250514
2026-03-08T06:11:52.235310+00:00,Sentinel: Impossible Travel,sentinel,calseta,2,3080,982,4062,0,0,22.82831733400235,0.023969999999999998,claude-sonnet-4-20250514
2026-03-08T06:12:17.252510+00:00,Sentinel: Impossible Travel,sentinel,calseta,3,3080,1080,4160,0,0,25.016025416000048,0.025439999999999997,claude-sonnet-4-20250514
2026-03-08T06:12:24.496585+00:00,Sentinel: Impossible Travel,sentinel,naive,1,22548,681,23229,5,5,7.242342249999638,0.06318,aoai-dev-gpt-4o
2026-03-08T06:12:31.425651+00:00,Sentinel: Impossible Travel,sentinel,naive,2,22548,761,23309,5,5,6.9275787500082515,0.06398,aoai-dev-gpt-4o
2026-03-08T06:12:39.618457+00:00,Sentinel: Impossible Travel,sentinel,naive,3,22548,795,23343,5,5,8.1920897920063,0.06432,aoai-dev-gpt-4o
2026-03-08T06:12:47.849495+00:00,Sentinel: Impossible Travel,sentinel,calseta,1,2689,666,3355,0,0,8.229293374999543,0.0133825,aoai-dev-gpt-4o
2026-03-08T06:12:56.828328+00:00,Sentinel: Impossible Travel,sentinel,calseta,2,2689,674,3363,0,0,8.978260000003502,0.0134625,aoai-dev-gpt-4o
2026-03-08T06:13:02.915417+00:00,Sentinel: Impossible Travel,sentinel,calseta,3,2689,656,3345,0,0,6.0860493749933084,0.0132825,aoai-dev-gpt-4o
2026-03-08T06:13:44.535732+00:00,Elastic: Suspicious PowerShell,elastic,naive,1,31102,1909,33011,5,5,41.61939812499622,0.121941,claude-sonnet-4-20250514
